Month,Income (₹),Savings (₹),Rent (₹),Groceries (₹),Transportation (₹),Utilities (₹),Dining Out (₹),Entertainment (₹),Medical (₹),Total Expenditure (₹)
2020-01,34600,6700,10400,3700,1600,1000,1400,1400,1100,20800
2020-01,102700,21700,20600,13400,3800,3200,5200,3200,3600,53500
2020-01,80300,19100,20100,11200,800,1800,5500,3900,1800,45200
2020-01,61800,10600,20800,5300,1400,1800,2700,2000,2100,37000
2020-01,30000,3900,8300,2200,1600,600,1100,400,1000,15200
2020-01,40900,13600,14300,2700,2900,1500,1600,2300,1300,27000
2020-01,58800,6800,17000,3700,600,1000,6300,900,1800,31300
2020-01,135600,24900,56300,6600,4400,5500,12100,3600,8500,98200
2020-01,46600,10600,7000,4500,2700,1400,3500,2100,2200,22900
2020-01,96200,24000,23500,5800,6500,2500,500,200,3300,42300
2020-01,55300,8100,10200,3700,2300,1100,4100,2900,1000,24900
2020-01,16900,1100,3200,1900,600,700,1200,200,400,8200
2020-01,240400,34800,45600,22900,17900,5600,6700,5600,13000,118000
2020-01,232800,53900,63300,24000,15300,4300,15500,8000,5000,137000
2020-01,73100,16000,20200,9600,4900,3000,6300,2100,2000,48500
2020-01,204700,45100,59300,23700,8300,4300,15200,8600,5500,124300
2020-01,48800,10900,8900,6600,3500,1400,2100,300,1700,24200
2020-01,87100,22700,20700,8000,1000,3300,5300,3600,2000,42400
2020-01,63800,8500,12300,8800,4600,2000,5000,2700,2100,37500
2020-01,37900,4100,12300,3800,1800,1800,2300,1700,900,25000
2020-01,35800,7200,7100,3400,1900,800,3300,200,1800,18500
2020-01,19700,2300,4800,2600,600,500,1400,200,400,10500
2020-01,54200,5700,16200,3500,700,1600,4300,1300,2400,30100
2020-01,74400,18900,16100,11200,3900,2700,6000,700,1600,42000
2020-01,69700,13600,21500,5700,4300,3000,2300,200,1200,38300
2020-01,443200,80500,164700,23700,28400,13600,27100,10700,8600,275100
2020-01,36100,6600,9900,4000,2200,1000,1900,1200,200,20100
2020-01,55800,9700,18000,4400,3200,800,4800,4000,2000,37200
2020-01,218300,55200,25100,32900,6900,6800,15600,8300,2700,98200
2020-01,28400,2500,6500,2200,1900,700,1600,1600,700,15600
2020-01,22500,1900,6100,2200,700,800,600,700,900,11900
2020-01,37800,4700,7000,1800,2700,1000,800,1500,1500,16300
2020-01,37500,7400,10300,4300,1800,1000,2500,1000,300,21100
2020-01,505000,145600,168800,33700,24700,7800,21200,35500,17500,307100
2020-01,233500,54200,30000,25900,15700,2800,17900,4600,11000,108700
2020-01,69400,15000,12300,5400,4900,3400,1300,1500,1400,31200
2020-01,107800,18900,29400,3100,7100,3400,10800,4500,4100,62100
2020-01,157400,15700,46000,14800,5300,5400,12100,5200,2000,91500
2020-01,40400,8500,12600,3700,2600,800,2500,1000,1400,23900
2020-01,243100,73300,65100,28300,8200,9400,24800,10800,7800,153500
2020-01,76200,12600,22300,10400,5000,2800,6400,2200,3000,53300
2020-01,115400,16900,37300,17000,2500,2500,5600,3400,4500,72700
2020-01,91200,15100,21100,10600,4400,1800,5600,3100,900,47900
2020-01,53400,11500,11600,5300,1800,1200,600,200,1700,22200
2020-01,17200,3200,4300,800,1200,500,1500,100,900,9300
2020-01,19300,4500,5300,1900,1400,600,1000,900,0,11400
2020-01,79000,14100,16900,7600,4300,2400,800,1600,3500,36500
2020-01,192100,31800,44700,16100,10200,8300,5900,5400,10400,104300
2020-01,146100,28300,42100,15900,9400,3300,11900,7900,1100,89500
2020-01,38300,5700,10400,4700,2800,700,3800,1100,800,24100
2020-01,59900,17000,14800,3900,3000,1800,3600,1600,2300,30600
2020-01,84200,19300,11600,5500,3400,1100,3000,3700,1400,29600
2020-01,26200,3000,6800,2200,1600,1000,600,600,1300,13900
2020-01,24200,3300,4600,1700,300,700,2300,1200,1100,11700
2020-01,57800,12400,19000,2400,3900,1500,4100,2500,500,33300
2020-01,576000,110000,137300,34600,20600,15000,29800,33100,10900,284000
2020-01,71500,14200,13600,3800,3200,2800,3300,1400,3000,31000
2020-01,65700,11100,16800,8300,4500,2500,5000,3300,2700,42800
2020-01,123800,25700,43200,17500,5200,3400,9400,4700,7800,91600
2020-01,68200,11600,20700,3900,4300,2400,2600,700,1100,34900
2020-01,494900,105800,136300,52600,36000,19100,15600,0,25700,286600
2020-01,359300,81300,60100,41800,18800,12000,11700,6500,5900,156600
2020-01,27200,7500,10200,1200,1500,800,1300,900,1000,16900
2020-01,42600,6400,9200,4000,2000,1400,1800,1600,1800,22000
2020-01,86000,15400,28000,14300,4500,1700,8600,2500,0,61100
2020-01,23600,2500,5600,2600,700,700,1100,700,1000,12500
2020-01,31600,9200,10100,2600,1400,900,900,900,1600,18300
2020-01,79900,4900,28100,5800,1900,2100,2400,3600,3700,46800
2020-01,55900,15700,17100,1600,1800,700,3100,500,3400,27200
2020-01,31200,5800,9800,3200,300,600,500,1100,1400,16900
2020-01,19600,4000,5000,2900,1100,500,1100,300,400,11100
2020-01,493700,84000,113400,32400,41400,19200,13100,8100,24000,242000
2020-01,29600,5400,8000,900,1200,1000,2600,1400,600,15600
2020-01,37300,8000,8800,2600,2600,1500,2300,600,1200,19700
2020-01,85200,7000,36900,9900,6200,3600,9600,2400,3600,73000
2020-01,568700,80100,108400,43900,14800,18900,30900,33800,20900,275900
2020-01,26000,3400,8600,1700,800,800,0,1100,1300,14500
2020-01,125700,26000,37200,11400,8800,2500,12100,2900,8500,84500
2020-01,191800,34600,53000,18600,9200,9600,13900,4700,2500,109000
2020-01,39700,8600,14400,1900,1000,600,3000,500,1000,22300
2020-01,210700,40000,59200,17600,7900,6600,7400,10400,7300,117400
2020-01,62200,15100,13400,4700,3600,2400,3700,2800,1400,32000
2020-01,76900,10400,21600,5400,2600,3000,5000,3100,2200,42800
2020-01,78200,14300,19300,4700,800,1400,4200,3300,3300,37000
2020-01,57800,14300,17100,6800,2500,1500,1000,1100,2300,32400
2020-01,37100,8700,11800,2600,1700,800,4800,300,1300,23300
2020-01,100900,9200,20200,3000,5100,1000,8200,3900,3300,44100
2020-01,61900,7300,21300,6100,4700,1900,4400,2700,1600,41600
2020-01,28300,5000,6900,3200,1400,600,2600,1500,1400,17500
2020-01,34900,5800,10200,2300,1900,1600,2700,900,1900,21500
2020-01,63700,11200,19300,4700,4500,2300,2700,1600,2900,38000
2020-01,250100,57000,71500,17600,12600,7600,22800,6600,3200,143900
2020-01,26400,5200,6700,2100,2400,700,2100,1100,700,16100
2020-01,72600,14600,16400,8900,1800,2300,3200,1900,2400,36800
2020-01,32000,7000,7700,2800,1000,900,2600,900,500,16400
2020-01,68400,16700,25300,7900,4300,2100,3700,2900,2100,48700
2020-01,35300,0,7000,2200,2700,1700,2300,700,1100,17800
2020-01,246300,38600,51600,19300,11300,4800,18500,12500,11400,128500
2020-01,43000,5500,8900,5100,1300,1200,4100,1700,1000,23500
2020-01,518600,108100,139800,34100,44200,19200,22700,1100,24600,285100
2020-01,39500,6000,6100,4800,1300,1000,2700,900,600,17400
2020-01,63500,11700,10500,4500,3600,2900,7000,0,1100,29800
2020-01,36500,8400,8800,2900,2800,1300,2000,1000,900,19600
2020-01,302000,43400,51300,42300,12400,6900,19600,6800,9300,148800
2020-01,197900,39900,34700,15200,7400,6300,21800,8400,0,94200
2020-01,16400,4500,2800,1500,600,400,1200,300,600,7500
2020-01,233500,53700,46900,25300,15900,5100,5400,8400,13000,121300
2020-01,239300,20300,74500,23200,17000,6800,9600,9200,9500,150400
2020-01,64100,10400,21000,6300,3200,2700,5000,2200,1700,40500
2020-01,85800,17300,33800,7600,7500,3200,6100,4000,1200,63600
2020-01,21100,4500,8300,1100,1100,600,1400,1300,100,14000
2020-01,15600,2600,4900,1600,1200,600,1800,500,100,10800
2020-01,228800,32400,75900,15600,9500,7500,10200,8300,6400,131500
2020-01,336500,61900,90600,38100,32500,6200,19600,5700,20700,206600
2020-01,56400,6500,16700,7400,4600,1600,600,800,0,32100
2020-01,71300,17500,28200,2600,3400,2100,6300,3200,2900,47800
2020-01,77900,22800,22300,10200,6100,2900,3100,3400,1500,50400
2020-01,151300,30800,51600,11800,11800,3700,13100,2200,3800,97100
2020-01,125700,20900,24500,10800,10200,2600,10500,1300,2000,60900
2020-01,222800,52700,47500,14000,2200,6600,26500,4500,2100,103900
2020-01,180500,40800,50900,17300,11600,4300,13800,5000,5800,109700
2020-01,83900,13700,22700,7700,5100,2200,4300,2000,2800,47200
2020-01,28600,5100,6200,3500,1700,800,2000,900,1100,16300
2020-01,39800,5700,17100,2700,2200,1000,1600,1700,200,26200
2020-01,133800,25400,36400,18700,7400,5300,9100,4900,5800,85600
2020-01,67600,13400,15500,7400,5100,3000,3700,2600,2900,40000
2020-01,16100,2100,4400,1500,1000,600,900,0,600,8800
2020-01,35600,4100,9300,3000,1900,400,1300,200,800,17000
2020-01,111800,11200,30500,9000,8100,2600,7500,2000,3900,64400
2020-01,38500,7900,5700,3200,2200,1100,3100,800,1100,17200
2020-01,38600,6900,13500,3700,2300,400,700,1600,1700,23900
2020-01,63600,11100,22500,5300,5600,1400,2700,1100,1600,40000
2020-01,215100,44700,78100,15200,8900,6000,13800,8600,6800,139400
2020-01,156400,19700,44200,14900,3100,4000,200,2900,600,68000
2020-01,22100,2600,6800,1400,1100,700,2300,300,800,13200
2020-01,244000,47400,48600,24300,13200,4000,10300,3100,4600,111100
2020-01,31600,2400,10100,2600,2000,800,1200,2000,1200,19500
2020-01,77200,12700,21400,8600,4000,2400,4200,1400,3200,45600
2020-01,187700,61600,42800,22500,12200,5700,11900,7600,3900,107800
2020-01,60400,6000,19400,7200,6000,2100,2500,400,1800,38300
2020-01,217700,33600,70400,21700,14400,7400,18400,11200,7100,146700
2020-01,174600,9200,46100,18000,12100,4500,12200,6200,6200,107300
2020-01,40400,6700,11700,3200,1900,1300,1600,1400,1700,22500
2020-01,21000,6300,3900,2300,500,500,1000,800,800,9700
2020-01,51200,10700,17800,5800,500,1400,1100,1900,1200,29500
2020-01,34600,5000,6800,1500,1400,700,1000,1500,1900,14600
2020-01,26100,8100,5500,2600,300,1100,1800,500,1100,13000
2020-01,307400,23200,81300,40300,18500,8400,12100,6200,15700,179300
2020-01,81900,17000,27700,6500,3500,3300,8600,2500,2900,53400
2020-01,151400,27800,51200,11000,3600,5000,9400,6100,5500,93400
2020-01,43500,7200,11300,3400,2300,900,1100,1300,1200,21100
2020-01,234300,53500,73600,10500,8300,7600,7400,9700,5500,121200
2020-01,51300,5600,7300,4800,3000,2000,4400,2000,2300,26100
2020-01,67200,13400,14100,6100,4300,2000,3900,1800,2300,34500
2020-01,86400,16500,18200,8300,3100,2700,7300,300,2400,43000
2020-01,38400,4900,13300,3900,1700,900,2000,900,600,23600
2020-01,253400,75300,77500,16700,13800,7700,11700,14200,13500,154000
2020-01,19400,3300,5300,1900,400,600,1700,700,600,11400
2020-01,19700,3400,5500,2000,1100,500,800,400,200,10500
2020-01,80100,9500,29600,6000,1700,1500,5800,2700,2500,49400
2020-01,26900,4600,6700,2800,1600,1200,1500,1100,700,15700
2020-01,344200,110200,57800,31800,14200,12400,28200,7000,9100,157300
2020-01,585700,96500,196900,41600,12500,14400,61800,28400,22600,382900
2020-01,518100,109400,141300,51000,19900,16700,26000,19400,14000,291300
2020-01,69800,16500,22800,5700,2700,1100,3200,900,1800,38300
2020-01,31300,5300,8000,3500,2200,300,2400,1300,1600,18700
2020-01,290700,45200,58500,24100,15500,11900,9600,6900,1100,129800
2020-01,78000,16300,22500,4000,2400,2500,7800,2100,2300,43900
2020-01,381900,63200,99600,37400,31700,11300,36700,5600,16800,239000
2020-01,541300,86700,147700,52400,33800,17500,19000,21400,21300,312300
2020-01,235600,55700,87900,13600,10200,14700,4800,6500,10700,147200
2020-01,29800,5200,5500,3400,600,1200,900,1200,1800,14500
2020-01,49300,12500,13800,5500,2000,1000,1500,1100,2700,27900
2020-01,128400,22400,26000,8200,5900,1700,10300,2600,1600,55900
2020-01,71300,7200,5600,5000,4100,2900,7000,1300,400,26200
2020-01,15900,0,4100,1400,1000,600,1300,600,600,9600
2020-01,49300,3400,12900,3300,3300,1800,2700,1000,500,25500
2020-01,543800,43500,165100,59400,9700,11900,37300,14700,600,295900
2020-01,138300,27100,33900,13100,7500,4700,5300,3100,4800,72200
2020-01,65200,7900,10200,3700,3100,1500,5700,2400,2500,29200
2020-01,33700,2100,6800,2200,3500,1200,2400,100,1900,17900
2020-01,77900,13400,27400,9800,4000,3100,6200,2600,3200,56200
2020-01,513000,59000,103300,69800,19300,12600,21400,28700,30200,293600
2020-01,15300,3200,5700,1600,800,600,900,700,500,10800
2020-01,62500,12900,20800,5200,3100,1900,4900,1300,800,37500
2020-01,174100,37000,41400,13400,1800,6100,16700,6500,7400,91800
2020-01,168300,4500,35200,17900,9800,2800,7500,5800,8400,85700
2020-01,143600,26200,47900,13300,6300,4600,11400,7500,5200,98500
2020-01,216400,37400,52600,9000,10700,5000,9100,0,11200,99100
2020-01,75300,8000,11400,9100,2400,2600,8500,3500,2100,38800
2020-01,39000,2000,11700,5100,1100,1700,1900,1000,1500,24100
2020-01,227700,39500,65900,25500,15400,7500,17300,4300,6200,144700
2020-01,235400,57400,80000,13500,17000,4900,15100,4300,15500,150200
2020-01,109600,2800,31200,7800,6400,4000,13700,1200,4700,68500
2020-01,459200,59700,101700,15700,6300,15600,30200,9500,6100,191300
2020-01,80400,15100,28000,11100,4800,4100,3800,1100,4600,55900
2020-01,69300,17200,24600,5500,1000,2300,5300,2300,1300,44000
2020-01,98800,15900,27300,15800,3600,2400,7500,3800,3000,63500
2020-01,85400,25300,22600,12700,5700,3200,4800,2200,3200,55500
2020-01,147500,10700,24700,9300,9300,4200,4800,7700,5600,64400
2020-01,237900,14000,51700,16400,14100,7300,11100,5200,8900,113500
2020-01,207600,50000,65000,21600,15800,4300,17000,5300,2700,129600
2020-01,47500,1900,10500,1800,2900,1400,800,1100,1800,20300
2020-01,68000,14100,10700,5200,700,2100,3700,2700,3200,28400
2020-01,30600,5000,15400,2300,1300,900,2600,1200,1400,25500
2020-01,69100,8700,10900,10100,3400,1700,4000,2600,700,32500
2020-01,28600,4400,12000,2700,1300,900,3300,800,600,21700
2020-01,50100,5100,11900,4100,1900,1000,800,500,700,21200
2020-01,54400,8800,13800,3900,1600,1000,2000,1400,1900,26000
2020-01,26700,4800,5700,3100,2600,1000,100,1400,200,14000
2020-01,49800,7700,15700,3700,2100,1800,5500,2300,700,31600
2020-01,34000,4900,5400,3000,3300,600,1200,1200,700,15400
2020-01,14900,2900,2000,1100,400,200,200,400,0,5000
2020-01,216900,60600,80800,9600,13700,4300,9700,6500,6400,133600
2020-01,76700,12600,15600,4600,4200,2200,1900,1900,0,29800
2020-01,25500,5800,8000,1900,800,1100,1100,1200,1000,14900
2020-01,67600,8200,12400,5600,2700,1900,4100,1200,1600,28900
2020-01,232200,23200,71900,19400,11500,5200,18600,10200,4800,142500
2020-01,18800,3900,7100,1600,600,600,1000,400,400,11900
2020-01,72100,12000,16100,5400,3200,2100,4400,3600,2100,36100
2020-01,22500,5600,2800,2900,200,400,1000,800,900,9000
2020-01,22800,5900,8600,2700,1500,400,500,400,1100,15400
2020-01,56600,13000,18400,4900,4200,900,800,1400,2600,33600
2020-01,85500,19600,19400,8300,5100,4700,4400,3500,5400,51400
2020-01,69600,0,17000,5500,6600,2700,4300,1600,2800,39800
2020-01,150100,31000,27400,3000,9600,3600,7400,4600,4800,61100
2020-01,331700,76900,119200,30100,24200,13600,4900,7400,7700,206500
2020-01,54300,5600,12100,5400,4100,1300,3500,3100,1300,31300
2020-01,69800,12600,11200,2900,700,2800,7000,4100,2700,31600
2020-01,172600,20300,47500,18100,10100,5300,9900,9000,2600,101200
2020-01,33100,8000,6600,2700,700,800,1500,900,1100,14400
2020-01,51600,6300,9700,5200,1400,1900,3000,1200,1500,24200
2020-01,19400,2600,4500,1600,600,600,600,400,400,8600
2020-01,21800,3300,5800,2800,1000,700,700,1200,300,12500
2020-01,437300,137700,71400,42300,27600,14100,31200,19200,29700,230800
2020-01,114100,27400,40700,13700,6700,3700,9700,5100,1000,81300
2020-01,224000,62000,68900,27400,11100,8500,12600,5900,6500,140800
2020-01,52600,3700,12300,3000,3400,2900,600,200,2500,25200
2020-01,26100,2700,5100,1800,1700,1100,1800,200,1000,12800
2020-01,34900,9100,8900,3600,2100,1100,3900,1100,800,21400
2020-01,17300,1300,5600,1400,300,500,900,400,200,9200
2020-01,84300,11800,26300,7000,3000,2400,4700,1700,2700,47000
2020-01,121300,36800,40500,15600,6100,2100,4600,4300,0,72600
2020-01,114900,14000,26000,9300,7400,4200,8300,5200,3700,65000
2020-01,16700,1200,900,1000,400,300,700,300,500,5000
2020-01,437000,79900,151800,28400,21800,11500,37400,4600,20100,271300
2020-01,205900,15100,51100,32000,3800,7600,9000,4100,2600,111600
2020-01,78900,20100,24200,6700,5600,2200,5400,1100,2000,48100
2020-01,65800,8300,24800,3200,3600,1700,3900,2600,2400,41600
2020-01,63500,7300,27300,2300,1500,1100,6300,1900,2100,41800
2020-01,29400,5300,6300,2100,700,1200,2100,1700,300,14700
2020-01,76700,11900,20700,6500,4400,1700,7300,3100,1600,45200
2020-01,216000,42200,76800,25600,16700,5200,13500,12400,11000,159000
2020-01,29500,6200,5900,3400,800,400,1600,300,1000,13600
2020-01,39100,6500,8600,3500,2600,1200,2300,0,200,18500
2020-01,39100,4300,8600,3000,1500,1000,1600,1300,1700,18900
2020-01,24100,5400,6200,2400,1600,800,1800,800,100,13500
2020-01,132900,18400,32500,5000,8500,2400,5700,3700,3400,61500
2020-01,163800,20900,35800,24500,8700,6100,10300,5100,6300,98600
2020-01,83000,15700,16000,9100,1100,1000,6800,1100,4000,39500
2020-01,24700,1600,7800,2900,1600,700,2500,900,0,16600
2020-01,71600,14600,25300,4100,4300,2200,4600,2900,2900,47300
2020-01,78400,15000,28500,10100,4600,2400,6400,900,3400,56700
2020-01,16500,4100,3700,1300,900,500,1300,400,400,8400
2020-01,82100,12300,26300,5000,2700,3100,4100,2100,2600,46500
2020-01,70300,18200,19400,6200,5000,3000,7900,1400,0,42200
2020-01,77000,16300,16900,6800,5200,2200,3500,1000,0,35500
2020-01,55800,10000,17400,3200,1600,1100,3500,1700,2600,31400
2020-01,30000,8700,6500,1900,2300,1100,2900,1000,700,15600
2020-01,64600,12000,15100,3900,3400,1800,6200,1300,1600,33400
2020-01,53000,7900,8700,3200,2800,2300,3200,700,1800,22800
2020-01,88000,16500,20000,6900,4100,2100,7500,3200,2200,45200
2020-01,132700,19600,36900,6400,6400,2800,7200,2500,3100,65600
2020-01,152900,30900,56500,10600,11800,4800,7300,3900,5500,100700
2020-01,18700,4800,4400,2300,1300,200,600,400,100,9300
2020-01,16400,2900,3100,1900,1200,400,1300,800,800,9700
2020-01,52100,9700,19000,3000,2800,1400,4200,1000,1400,33200
2020-01,22100,5000,5000,2600,1500,700,1000,1200,300,12400
2020-01,88300,22200,12200,2700,2900,1800,5900,3600,1100,29700
2020-01,377800,57700,101700,61500,23300,8000,47700,21700,11600,275400
2020-01,56800,10800,13500,7300,2700,2400,5000,2300,1400,35200
2020-01,68300,15600,28800,5000,700,2000,2600,1800,500,41300
2020-01,85900,17200,25200,8700,1600,3300,7300,1400,1800,50400
2020-01,54400,3700,13600,2600,2000,1300,2000,1300,1000,24000
2020-01,54900,13100,10700,5000,3200,1600,0,2900,2700,26800
2020-01,322600,68200,91300,27300,11900,10400,19200,9400,10300,176900
2020-01,48200,10400,17400,3100,1800,2300,4800,1900,2600,33800
2020-01,317600,34500,89500,24100,20700,8800,30200,10500,6100,189700
2020-01,545300,103100,109400,39800,21200,15500,37900,18400,14000,258500
2020-01,26700,6200,7900,1500,2000,1100,1200,900,1000,15400
2020-01,33800,4300,8700,2200,2500,900,2400,1300,1300,18800
2020-01,24900,3600,7300,1200,1300,800,1300,400,1000,13400
2020-01,22900,5300,5400,2600,1500,900,1100,600,400,12400
2020-01,34000,4800,7900,2100,2100,800,2900,1200,600,17500
2020-01,245500,41100,56700,13100,11100,8200,11500,8000,6100,113500
2020-01,37700,4400,12300,4300,2500,1800,3300,900,2000,27200
2020-01,89200,25800,20900,9000,6300,3500,4000,3200,1300,47400
2020-01,249400,52700,56800,28500,7700,8200,27800,4600,5500,138700
2020-01,23200,3800,4500,2700,1200,600,400,300,900,10500
2020-01,156100,24000,45500,23100,8200,3700,5600,5400,6300,96900
2020-01,36900,3900,10400,3100,2500,700,2100,400,1400,20700
2020-01,22600,3900,5200,1000,900,1000,200,800,700,9900
2020-01,118200,26000,24900,11600,4500,5100,0,100,1700,47700
2020-01,51400,6800,20100,3600,2700,1200,500,1000,1000,30500
2020-01,150800,28100,19400,9200,11100,5000,7900,3800,7100,62600
2020-01,194200,30700,57200,18100,5100,6000,10400,1100,8100,103600
2020-01,125500,33000,44000,14600,3700,5300,8600,3100,1300,79000
2020-01,33300,4700,1700,2200,1300,1100,1800,1600,1400,10900
2020-01,27500,6200,8700,3500,1200,800,1900,300,1400,17400
2020-01,241800,63700,59100,14600,3600,5900,11800,6000,7400,111700
2020-01,175200,27600,48700,14500,14000,5900,13600,9700,6400,110200
2020-01,494900,71600,117500,50300,23500,13100,37000,7000,22400,274600
2020-01,59600,14000,20000,4700,2600,1900,3100,3000,1200,36500
2020-01,83200,6100,23700,3100,6900,2400,6100,2100,5400,49900
2020-01,152200,31300,41000,17900,9800,4000,8400,4800,7400,92000
2020-01,59000,5000,11600,4200,2300,1200,1300,2900,2200,25800
2020-01,343000,86900,134400,38500,18300,12100,28300,7800,10100,246100
2020-01,114900,18900,30000,6000,5600,3500,4300,4500,4300,59000
2020-01,68300,11900,28700,3900,5400,3300,5600,3000,500,51200
2020-01,118300,16200,46700,13700,5500,2300,8100,2400,7200,85700
2020-01,135400,11500,18300,13600,2900,4900,7800,2500,6400,56300
2020-01,24000,6100,5100,1800,300,700,300,600,1200,10100
2020-01,557700,94700,104500,56100,44300,28400,54900,15100,17000,322100
2020-01,55600,20700,14300,3400,1900,2000,2800,800,1400,27000
2020-01,118000,15500,32200,11000,7500,3900,9000,2400,2300,69300
2020-01,79200,11200,21900,7400,4100,2300,4500,0,3300,43500
2020-01,124500,15700,41600,9800,5200,2900,6600,3100,2800,71500
